전체주중주말,주운행선,Date,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원
주말,경부선,2016-06-01,28152,1441196,1658762,416507.51745583484,31081.192908546098,479438.8429705333,13.809433523589966,160.82113208017765,8.722891159778987,0,332,0,2,330,72,72,132,1658,12002.085562515214
주말,경부선,2016-07-01,35396,1812105,1954514,531154.6998229804,39414.36972282945,573034.7992038011,16.17488593459319,202.17044954343265,10.365351347243173,0,427,0,14,413,90,90,165,2088,14037.101286158795
주말,경부선,2016-08-01,28624,1465260,1543033,430954.5609780681,31697.961903272557,453965.8989729947,12.63682171400178,163.17347895569577,8.136636946010338,0,353,0,24,329,72,72,132,1692,10943.496453900709
주말,경부선,2016-09-01,30950,1584143,1654399,458858.7595829893,33441.497810623536,479822.13446838426,13.579958166819381,178.4063377527676,8.517050958420796,0,357,52,24,281,78,78,143,1830,11755.020659882824
주말,경부선,2016-10-01,32750,1676365,2087166,482050.3273609347,35099.25722905597,599645.7811699497,17.429119124062087,192.29253078007548,10.640004591752868,0,408,0,0,408,84,84,154,1932,15119.664822632532
주말,경부선,2016-11-01,27382,1402257,1881893,407771.3067499177,29869.11267732216,547166.2429076333,16.117775911181788,163.82814346528178,9.782691620241422,0,366,0,0,366,72,72,132,1656,13634.571700430834
주말,경부선,2016-12-01,25912,1332930,1588154,484150.9598545299,36072.87741375181,580410.1921343149,16.790786400592726,187.93395175433247,10.360152365205769,0,310,0,18,292,95,80,155,1518,14771.414765499774
주말,경부선,2017-01-01,26842,1378927,1400158,460694.2357766561,34454.99654006355,467686.1571904635,13.191250724163995,173.8517104325448,8.382169625,0,286,51,30,205,91,78,156,1595,11407.159410867094
주말,경부선,2017-02-01,24120,1238852,1299845,420171.2736156509,31528.41267989987,440718.75806399283,12.57833876633194,159.92964691714118,7.927611155079695,0,252,0,0,252,84,72,144,1436,10861.204875338566
주말,경부선,2017-03-01,26996,1390852,1399381,435654.9436836205,32888.94145961995,438549.1754420208,13.07906442604507,172.17959916179734,7.973578716820468,0,325,0,0,325,91,91,169,1616,11257.710423613453
주말,경부선,2017-04-01,29443,1519345,1643748,472689.19670541416,36196.70176,511014.5848129531,15.142592266100992,182.82101027231548,9.432198097367678,0,391,0,28,363,110,110,206,1789,12860.524830158718
주말,경부선,2017-05-01,25298,1305714,1430857,414954.2903214782,31441.838040303053,454774.99809250864,13.14874448235562,158.4464500210863,8.315815468372751,0,349,0,30,319,96,96,180,1542,11132.766924827389
주말,경부선,2017-06-01,27392,1414434,1445164,450487.23011503543,33647.31163657335,460243.38725387526,13.28061323763066,174.05652367119623,8.283763187703496,0,351,0,32,319,104,104,195,1669,11254.276713164818
주말,경부선,2017-07-01,29700,1534597,1435224,487321.19201290095,36705.377109156856,456533.9423098544,13.101399761377493,185.90850978150567,8.287818928540297,0,379,0,44,335,112,112,210,1821,11042.40008
주말,경부선,2017-08-01,25280,1307556,1306112,417251.21757163043,31880.041962644063,417275.9696974216,11.990091467409954,157.0815846022047,7.677348583582927,0,310,0,28,282,96,96,180,1540,10178.611299969716
주말,경부선,2017-09-01,29658,1538539,1560339,474782.3862,35555.43151,481050.4617101907,14.196549827090314,186.93814704502205,8.678749457534776,0,375,47,47,281,104,104,194,1798,12148.428743943065
주말,경부선,2017-10-01,27710,1439077,1484009,459492.82113947236,34272.62924211702,472622.1995,13.40692487068371,174.33188046907117,8.488526332566172,0,338,93,37,208,91,91,169,1675,11519.10835951696
주말,경부선,2017-11-01,25468,1327459,1531124,408057.16473110043,30541.77051352212,470382.20130158344,13.83877754775898,160.32125492190895,8.473755430791297,0,306,0,28,278,84,84,156,1540,11929.386538461538
주말,경부선,2017-12-01,31118,1631822,1761118,515838.02699037944,38709.56933227056,556263.6924812398,16.180036975265143,199.95557421177776,10.01939788952486,0,349,0,21,328,105,105,195,1856,14229.663557926062
주말,경부선,2018-01-01,24728,1302538,1276931,412316.93000161194,30981.549723746353,404328.83897239144,11.76369910277456,159.70346034091457,7.298296002981247,0,261,0,20,241,84,84,156,1466,10452.65067865327
주말,경부선,2018-02-01,24880,1312722,1284708,420721.30858302466,31187.71415,412030.1987710442,11.739994207837992,161.89731140328828,7.470231222,0,204,42,0,162,72,72,120,1450,10629.101092896175
주말,경부선,2018-03-01,28704,1513001,1515686,462030.37490970903,34688.19081670212,462670.799,14.02512220654851,186.46522322193064,8.477010389284784,0,266,0,0,266,84,84,140,1690,12556.317213114755
주말,경부선,2018-04-01,26612,1402917,1562367,430195.4562160219,32676.27131,478959.7393968291,14.475119414762112,171.1474955923872,8.875966502870643,0,273,0,0,273,78,78,130,1568,12951.28674863388
주말,경부선,2018-05-01,24936,1315434,1496732,398894.7783,30423.54522368765,453445.6102951253,13.643976395117381,157.35608686148757,8.437229913796687,0,279,0,12,267,72,72,120,1468,12226.401787083016
주말,경부선,2018-06-01,28702,1513665,1578531,473260.1120316587,35723.27900035387,493855.37821062887,14.60121537612675,185.47139275391035,9.092705921636107,0,308,0,1,307,84,84,140,1691,13069.851972544317
